name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
RK_Columbusplein e0o0,3.29,72.0,19.0,0.5742971887550201,Very High
RK_Vondelparkbuurt West,2.83,82.0,11.0,0.573293172690763,Very High
RK_Johannnes Vermeerbuurt,2.79,84.0,12.0,0.5662650602409639,Very High
RK_Dapperbuurt Noord,3.38,73.0,26.0,0.5638554216867471,Very High
RK_Robert Scottbuurt Oost,2.92,79.0,15.0,0.5626506024096386,Very High
RK_Burgemeester Tellegenbuurt Oost,3.0,77.0,17.0,0.5606425702811245,Very High
RK_Weteringbuurt,2.88,79.0,12.0,0.5598393574297189,Very High
RK_K-buurt Midden,3.38,74.0,30.0,0.5570281124497992,Very High
RK_Oude Kerk e0o0,2.71,93.0,7.0,0.5548192771084338,Very High
RK_Planciusbuurt Noord,3.38,66.0,12.0,0.5473895582329318,Very High
RK_Oosterparkbuurt Zuidwest,2.96,78.0,20.0,0.5465863453815261,Very High
RK_Filips van Almondekwartier,2.96,76.0,14.0,0.5453815261044177,Very High
RK_Lizzy Ansinghbuurt,2.88,79.0,19.0,0.5357429718875503,Very High
RK_Waterloopleinbuurt,2.84,78.0,13.0,0.5353413654618474,Very High
RK_De Aker Oost,3.67,68.0,28.0,0.5317269076305221,Very High
RK_Sloterdijk II,2.75,85.0,18.0,0.5307228915662651,Very High
RK_Amstel III deel A/B Noord,2.79,81.0,17.0,0.5289156626506024,Very High
RK_Kolenkitbuurt Noord,3.42,71.0,32.0,0.5273092369477912,Very High
RK_Papaverweg e0o0,2.96,74.0,14.0,0.5248995983935743,Very High
RK_De Wester Quartier,3.04,69.0,6.0,0.5206827309236948,Very High
RK_E-buurt,3.33,72.0,34.0,0.5204819277108435,Very High
RK_Middelveldsche Akerpolder,3.5,70.0,34.0,0.5204819277108435,Very High
RK_Westhaven Zuid,2.67,85.0,10.0,0.5194779116465864,Very High
RK_Belgiëplein e0o0,2.75,83.0,19.0,0.5180722891566266,Very High
RK_De Punt,3.63,69.0,35.0,0.5152610441767068,Very High
