rank,name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
424,RK_Durgerdam,2.75,25.0,64.0,-0.3443775100401606,Very Low
425,RK_L-buurt,2.75,33.0,70.0,-0.35140562248995977,Very Low
426,RK_Kantershof,2.67,41.0,63.0,-0.35642570281124497,Very Low
427,RK_Rijnbuurt Oost,2.33,52.0,46.0,-0.35642570281124497,Very Low
428,RK_Dorp Driemond,2.42,52.0,49.0,-0.35742971887550207,Very Low
429,RK_Werengouw Zuid,2.71,38.0,66.0,-0.36044176706827313,Very Low
430,RK_Nintemanterrein,2.34,54.0,49.0,-0.3624497991967872,Very Low
431,RK_Buiksloterdijk Oost,2.04,52.0,40.0,-0.3634538152610442,Very Low
432,RK_Amstelkwartier West,2.46,52.0,54.0,-0.3744979919678715,Very Low
433,RK_Buiksloterbreek,2.63,40.0,57.0,-0.3755020080321285,Very Low
434,RK_Nelson Mandelapark,1.75,56.0,43.0,-0.37951807228915657,Very Low
435,RK_Zunderdorp,2.75,18.0,69.0,-0.4156626506024096,Very Low
436,RK_Rijnbuurt Midden,2.33,51.0,50.0,-0.4236947791164658,Very Low
437,RK_Noorder IJplas,2.75,17.0,70.0,-0.430722891566265,Very Low
438,RK_Bedrijventerrein Nijverheidslaan,2.29,55.0,58.0,-0.4447791164658635,Very Low
439,RK_Erasmusparkbuurt West,2.58,43.0,64.0,-0.4457831325301204,Very Low
440,RK_Sloterweg e0o0,2.54,39.0,56.0,-0.44979919678714864,Very Low
441,RK_Sportpark Middenmeer Zuid,2.08,52.0,48.0,-0.4598393574297189,Very Low
442,RK_Overbraker Binnenpolder,2.5,51.0,71.0,-0.4789156626506025,Very Low
443,RK_Buitenveldert West Midden,2.46,46.0,62.0,-0.47991967871485947,Very Low
444,RK_Plan van Gool,2.63,35.0,70.0,-0.4879518072289156,Very Low
445,RK_Gein Noordoost,2.46,47.0,65.0,-0.49397590361445776,Very Low
446,RK_Kattenburg,2.34,44.0,54.0,-0.5060240963855421,Very Low
447,RK_Nieuwe Diep/Diemerpark,2.58,26.0,60.0,-0.5080321285140563,Very Low
448,RK_Holysloot,2.71,9.0,73.0,-0.5160642570281124,Very Low
449,RK_Drieburg,1.96,55.0,58.0,-0.5291164658634538,Very Low
450,RK_Zeeburgereiland Zuidwest,2.21,40.0,49.0,-0.535140562248996,Very Low
451,RK_Weespersluis,2.29,38.0,53.0,-0.5592369477911647,Very Low
452,RK_Zwarte Gouw,2.46,22.0,55.0,-0.5672690763052208,Very Low
453,RK_De Heining,2.54,26.0,67.0,-0.5742971887550201,Very Low
454,RK_Sportpark Middenmeer Noord,2.17,49.0,63.0,-0.5813253012048192,Very Low
455,RK_Noorderstrook West,2.58,20.0,67.0,-0.5813253012048193,Very Low
456,RK_Hiltonbuurt,1.92,49.0,56.0,-0.5953815261044177,Very Low
457,RK_Zorgvlied,2.38,32.0,64.0,-0.6164658634538152,Very Low
458,RK_Nieuwendammerdijk Oost,2.17,43.0,61.0,-0.6224899598393574,Very Low
459,RK_Hoge Dijk,2.5,24.0,71.0,-0.6345381526104419,Very Low
460,RK_Buiksloterdijk West,1.92,45.0,57.0,-0.6355421686746988,Very Low
461,RK_Overamstel,2.42,29.0,67.0,-0.6375502008032129,Very Low
462,RK_Aetsveldsepolder,2.25,23.0,54.0,-0.6475903614457831,Very Low
463,RK_Schellingwoude West,2.5,18.0,75.0,-0.678714859437751,Very Low
464,RK_Bretten Oost,2.46,29.0,87.0,-0.6807228915662651,Very Low
465,RK_Buiteneiland,1.71,32.0,52.0,-0.6827309236947792,Very Low
466,RK_Baanakkerspark Noord,2.46,23.0,78.0,-0.6917670682730924,Very Low
467,RK_Rembrandtpark Noord,2.42,27.0,79.0,-0.7068273092369478,Very Low
468,RK_Oosterpark,2.0,39.0,65.0,-0.7108433734939759,Very Low
469,RK_Osdorper Binnenpolder,2.42,23.0,78.0,-0.7208835341365463,Very Low
470,RK_Amstelglorie,2.42,21.0,76.0,-0.7228915662650603,Very Low
471,RK_Bedrijvenpark Lutkemeer,2.38,26.0,78.0,-0.7238955823293173,Very Low
472,RK_Geuzenhofbuurt,1.63,41.0,66.0,-0.746987951807229,Very Low
473,RK_Nieuwe Oosterbegraafplaats,2.09,31.0,69.0,-0.7479919678714859,Very Low
474,RK_Schellingwoude Oost,2.17,25.0,67.0,-0.748995983935743,Very Low
475,RK_Woon- en Groengebied Sloterdijk,2.17,29.0,71.0,-0.7570281124497993,Very Low
476,RK_Oostelijke Vechtoever,2.29,23.0,74.0,-0.7580321285140562,Very Low
477,RK_Amsterdamse Bos,2.42,14.0,80.0,-0.7700803212851406,Very Low
478,RK_Nieuwendammerdijk Zuid,2.46,2.0,97.0,-0.7841365461847389,Very Low
479,RK_Westergasfabriek,1.58,39.0,69.0,-0.7871485943775101,Very Low
480,RK_Nieuwe Meer,2.13,19.0,67.0,-0.7881526104417671,Very Low
481,RK_Schellingwoude Noord,2.13,26.0,72.0,-0.7881526104417671,Very Low
482,RK_Gaasperplas,2.13,19.0,69.0,-0.8012048192771084,Very Low
483,RK_Eendrachtspark,2.21,21.0,79.0,-0.8162650602409638,Very Low
484,RK_Gaasperpark,1.63,29.0,69.0,-0.82429718875502,Very Low
485,RK_Zeeburgerdijk Oost,1.88,27.0,77.0,-0.8433734939759036,Very Low
486,RK_Noorderstrook Oost,1.54,30.0,72.0,-0.8433734939759037,Very Low
487,RK_Rembrandtpark Zuid,2.13,21.0,80.0,-0.8453815261044176,Very Low
488,RK_Frankendael,1.75,23.0,79.0,-0.8885542168674698,Very Low
489,RK_Amstelpark,1.88,18.0,77.0,-0.8895582329317269,Very Low
490,RK_Vondelpark Oost,1.83,20.0,79.0,-0.8965863453815262,Very Low
491,RK_Baanakkerspark Zuid,2.08,12.0,89.0,-0.9006024096385542,Very Low
492,RK_Landelijk gebied Driemond,1.88,17.0,84.0,-0.9166666666666666,Very Low
493,RK_Vliegenbos,1.92,16.0,91.0,-0.926706827309237,Very Low
494,RK_Sloterpark,1.75,10.0,87.0,-0.9447791164658634,Very Low
495,RK_Bretten West,1.75,12.0,89.0,-0.9457831325301205,Very Low
496,RK_Flevopark,1.75,9.0,90.0,-0.9558232931726908,Very Low
497,RK_Beatrixpark,1.21,7.0,91.0,-0.9839357429718876,Very Low
498,RK_Vondelpark West,1.04,5.0,94.0,-0.9919678714859438,Very Low
499,,,,,,
500,,,,,,
