rank,name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
179,RK_G-buurt West,3.0,70.0,31.0,0.8182730923694779,High
180,RK_Zuidwestkwadrant Osdorp Noord,3.33,66.0,36.0,0.8162650602409638,High
181,RK_NDSM terrein,2.96,46.0,6.0,0.8132530120481927,High
182,RK_Utrechtsebuurt Zuid,2.88,70.0,26.0,0.8112449799196788,High
183,RK_Uilenburg,2.71,68.0,16.0,0.8092369477911647,High
184,RK_Amstel III deel C/D Zuid,2.04,85.0,18.0,0.8062248995983936,High
185,RK_Sporenburg,3.13,36.0,11.0,0.8062248995983935,High
186,RK_WG-terrein,3.08,70.0,35.0,0.7991967871485945,High
187,RK_Orteliusbuurt Noord,2.71,78.0,28.0,0.7951807228915663,High
188,RK_Nieuw Sloten Zuidwest,2.67,75.0,23.0,0.7951807228915663,High
189,RK_Meer en Oever,3.46,64.0,37.0,0.7881526104417671,High
190,RK_Zeeheldenbuurt,2.33,76.0,13.0,0.7851405622489961,High
191,RK_Landlust Zuid,3.0,67.0,28.0,0.782128514056225,High
192,RK_Entrepot-Noordwest,3.0,65.0,26.0,0.7781124497991969,High
193,RK_Tuindorp Oostzaan Oost,3.54,67.0,45.0,0.7720883534136548,High
194,RK_Groenmarktkadebuurt,2.71,63.0,10.0,0.7720883534136547,High
195,RK_Planciusbuurt Zuid,2.96,60.0,20.0,0.7680722891566264,High
196,RK_Marnixbuurt Zuid,2.63,70.0,17.0,0.7600401606425704,High
197,RK_Louis Chrispijnbuurt,3.46,64.0,39.0,0.7580321285140563,High
198,RK_Zuidwestkwadrant Osdorp Zuid,3.29,65.0,37.0,0.7469879518072289,High
199,RK_Vondelparkbuurt Midden,2.54,72.0,17.0,0.7469879518072289,High
200,RK_Westerstaatsman,2.54,77.0,23.0,0.7319277108433736,Medium
201,RK_Haarlemmerbuurt Oost,2.54,77.0,23.0,0.7319277108433736,Medium
202,RK_Buurt 8,3.5,63.0,40.0,0.7218875502008031,Medium
203,RK_Buurt 3,3.25,66.0,39.0,0.7208835341365463,Medium
204,RK_Trompbuurt,2.71,72.0,25.0,0.720883534136546,Medium
205,RK_Weesperbuurt,3.0,59.0,23.0,0.7148594377510041,Medium
206,RK_IJplein e0o0,3.67,39.0,26.0,0.714859437751004,Medium
207,RK_Weespertrekvaart,2.71,75.0,28.0,0.7118473895582328,Medium
208,RK_Minervabuurt Midden,2.5,77.0,23.0,0.7098393574297189,Medium
209,RK_Minervabuurt Zuid,2.63,73.0,23.0,0.7078313253012049,Medium
210,RK_Linnaeusparkbuurt,2.58,74.0,22.0,0.7048192771084338,Medium
211,RK_Landlust Noord,2.75,73.0,29.0,0.7048192771084336,Medium
212,RK_Leidsebuurt Zuidwest,2.54,73.0,20.0,0.7028112449799196,Medium
213,RK_P0C0 Hooftbuurt,2.29,78.0,20.0,0.7018072289156626,Medium
214,RK_Bedrijvengebied Cruquiusweg,2.75,54.0,6.0,0.6997991967871486,Medium
215,RK_Scheldebuurt Oost,2.92,71.0,36.0,0.6937751004016064,Medium
216,RK_De Wittenbuurt Zuid,2.92,59.0,21.0,0.6937751004016064,Medium
217,RK_Osdorp Midden Noord,3.54,64.0,45.0,0.6927710843373495,Medium
218,RK_Paramariboplein e0o0,2.71,70.0,24.0,0.6827309236947792,Medium
219,RK_Leliegracht e0o0,2.79,65.0,23.0,0.681726907630522,Medium
220,RK_Amstelkwartier Noord,2.63,67.0,17.0,0.678714859437751,Medium
221,RK_IJselbuurt Oost,2.67,66.0,18.0,0.6767068273092369,Medium
222,RK_Betondorp,2.92,69.0,34.0,0.6746987951807231,Medium
223,RK_Scheldebuurt Midden,2.75,73.0,31.0,0.6746987951807228,Medium
224,RK_Circus/Kermisbuurt,3.04,67.0,36.0,0.6736947791164658,Medium
225,RK_Banpleinbuurt,2.71,70.0,25.0,0.6606425702811245,Medium
226,RK_Passeerdersgrachtbuurt,2.5,71.0,19.0,0.6606425702811245,Medium
227,RK_Schinkelbuurt Noord,2.5,75.0,23.0,0.6576305220883534,Medium
228,RK_Diamantbuurt,2.71,63.0,17.0,0.6546184738955824,Medium
229,RK_Orteliusbuurt Midden,2.67,75.0,29.0,0.6536144578313252,Medium
230,RK_Hogewey Midden,2.75,75.0,35.0,0.6485943775100402,Medium
231,RK_Bedrijvencentrum Osdorp,2.63,77.0,31.0,0.6335341365461848,Medium
232,RK_Gelderlandpleinbuurt,3.25,65.0,43.0,0.6335341365461847,Medium
233,RK_Schildersbuurt,2.79,72.0,35.0,0.6325301204819276,Medium
234,RK_Gein Zuidwest,2.92,68.0,35.0,0.6275100401606426,Medium
235,RK_Banne Zuidoost,3.38,62.0,42.0,0.6214859437751004,Medium
236,RK_Aalsmeerwegbuurt Oost,2.59,75.0,27.0,0.6144578313253012,Medium
237,RK_Surinamepleinbuurt,2.71,69.0,26.0,0.6044176706827311,Medium
238,RK_Gooise Kant,2.75,68.0,27.0,0.604417670682731,Medium
239,RK_Helmersbuurt Oost,2.46,75.0,24.0,0.6024096385542168,Medium
240,RK_Osdorp Zuidoost,3.5,60.0,44.0,0.5993975903614458,Medium
241,RK_Van der Pekbuurt,3.13,61.0,35.0,0.5933734939759034,Medium
242,RK_Erasmusparkbuurt Oost,2.67,70.0,26.0,0.5893574297188755,Medium
243,RK_Delflandpleinbuurt Oost,3.0,66.0,38.0,0.5873493975903614,Medium
244,RK_Calandlaan/Lelylaan,3.21,63.0,41.0,0.5803212851405624,Medium
245,RK_Kadijken,2.71,65.0,23.0,0.5773092369477911,Medium
246,RK_Vervoerscentrum,2.13,80.0,25.0,0.5763052208835342,Medium
247,RK_Jacques Veltmanbuurt,3.17,65.0,44.0,0.575301204819277,Medium
248,RK_Marjoleinterrein,2.83,68.0,34.0,0.5742971887550201,Medium
249,RK_Gein Noordwest,3.17,63.0,40.0,0.5742971887550199,Medium
250,RK_Felix Meritisbuurt,2.63,67.0,22.0,0.571285140562249,Medium
251,RK_Buurt 6,3.21,63.0,42.0,0.5692771084337351,Medium
252,RK_Sarphatiparkbuurt,2.79,71.0,37.0,0.5672690763052208,Medium
253,RK_Orteliusbuurt Zuid,2.84,67.0,34.0,0.5632530120481929,Medium
254,RK_Staatsliedenbuurt Noordoost,2.83,65.0,30.0,0.5622489959839356,Medium
255,RK_Medisch Centrum Slotervaart,2.75,75.0,40.0,0.5572289156626506,Medium
256,RK_Weesperzijde Midden/Zuid,2.88,60.0,26.0,0.5542168674698795,Medium
257,RK_Delflandpleinbuurt West,2.92,67.0,38.0,0.5461847389558232,Medium
258,RK_Jacob Geelbuurt,3.21,63.0,44.0,0.5421686746987954,Medium
259,RK_Wildeman,3.63,58.0,49.0,0.5301204819277109,Medium
260,RK_Noordoever Sloterplas,3.17,59.0,38.0,0.5281124497991967,Medium
261,RK_Van Tuyllbuurt,2.71,71.0,34.0,0.5240963855421688,Medium
262,RK_Nieuw Sloten Zuidoost,2.71,70.0,32.0,0.5200803212851406,Medium
263,RK_John Franklinbuurt,2.79,66.0,32.0,0.5180722891566265,Medium
264,RK_Bedrijventerrein Sloterdijk I,2.46,81.0,36.0,0.5140562248995983,Medium
265,RK_Van Brakelkwartier,2.88,59.0,27.0,0.5080321285140562,Medium
266,RK_Middenmeer Zuid,2.79,69.0,37.0,0.5050200803212852,Medium
267,RK_Zuidas Noord,2.59,73.0,31.0,0.5040160642570282,Medium
268,RK_Da Costabuurt Noord,2.71,65.0,26.0,0.4989959839357429,Medium
269,RK_Bloemenbuurt Noord,3.17,62.0,44.0,0.4919678714859438,Medium
270,RK_Venserpolder West,3.25,60.0,44.0,0.4919678714859438,Medium
271,RK_Buurt 7,3.29,61.0,48.0,0.48795180722891573,Medium
272,RK_Steigereiland Noord,3.13,49.0,31.0,0.4879518072289156,Medium
273,RK_Gaasperdam Noord,2.96,65.0,41.0,0.47088353413654604,Medium
274,RK_Vondelparkbuurt Oost,2.21,74.0,24.0,0.4698795180722891,Medium
275,RK_Andreasterrein,3.17,53.0,36.0,0.4678714859437749,Medium
276,RK_Spiegelbuurt,2.46,66.0,20.0,0.464859437751004,Medium
277,RK_Valeriusbuurt West,2.58,72.0,31.0,0.463855421686747,Medium
278,RK_Parooldriehoek,2.79,70.0,41.0,0.46285140562248994,Medium
279,RK_Museumplein,2.71,69.0,34.0,0.4618473895582331,Medium
280,RK_Nieuw Sloten Noordoost,3.0,62.0,39.0,0.46084337349397586,Medium
281,RK_Twiske West,2.88,60.0,31.0,0.46084337349397586,Medium
282,RK_Banne Zuidwest,3.83,54.0,52.0,0.45783132530120474,Medium
283,RK_Sloterdijk III West,2.63,70.0,31.0,0.4538152610441768,Medium
284,RK_Zuiderkerkbuurt,2.25,68.0,19.0,0.4518072289156627,Medium
285,RK_Houthavens Oost,2.75,7.0,6.0,0.44477911646586343,Medium
286,RK_Science Park Noord,2.71,73.0,41.0,0.4407630522088355,Medium
287,RK_Valeriusbuurt Oost,2.33,73.0,26.0,0.44076305220883544,Medium
288,RK_Het Funen,2.88,62.0,35.0,0.42971887550200805,Medium
289,RK_Van Loonbuurt,2.58,63.0,21.0,0.42971887550200805,Medium
290,RK_Sarphatistrook,2.42,70.0,25.0,0.42369477911646586,Medium
291,RK_Sloterdijk III Oost,1.83,74.0,23.0,0.4226907630522089,Medium
292,RK_Cornelis Schuytbuurt,2.46,72.0,29.0,0.4216867469879518,Medium
293,RK_Leidsegracht Zuid,2.34,68.0,22.0,0.41967871485943786,Medium
294,RK_Rapenburg,2.63,48.0,12.0,0.4196787148594377,Medium
295,RK_Gouden Bocht,2.54,64.0,22.0,0.4186746987951807,Medium
296,RK_Ecowijk,2.79,66.0,38.0,0.4126506024096386,Medium
297,RK_Harmoniehofbuurt,2.5,62.0,19.0,0.40963855421686746,Medium
298,RK_Kelbergen,2.92,63.0,40.0,0.39859437751004,Medium
299,RK_Westlandgrachtbuurt,2.83,61.0,34.0,0.39156626506024095,Medium
300,RK_Reigersbos Noord,3.04,63.0,48.0,0.38955823293172687,Low
301,RK_Buurt 4 Oost,3.17,59.0,48.0,0.3855421686746987,Low
302,RK_Nieuwendammerdijk West,2.88,56.0,32.0,0.37851405622489964,Low
303,RK_Venserpolder Oost,3.0,63.0,47.0,0.3744979919678715,Low
304,RK_Java-eiland,3.09,18.0,27.0,0.36646586345381527,Low
305,RK_Wielingenbuurt,2.25,70.0,25.0,0.3584337349397591,Low
306,RK_Leidsegracht Noord,2.59,63.0,25.0,0.35240963855421686,Low
307,RK_Stationsplein e0o0,2.25,52.0,2.0,0.34437751004016065,Low
308,RK_Hakfort/Huigenbos,3.13,56.0,45.0,0.3443775100401606,Low
309,RK_Bloemenbuurt Zuid,3.09,60.0,50.0,0.33534136546184745,Low
310,RK_Tuindorp Nieuwendam Oost,3.21,55.0,49.0,0.33333333333333337,Low
311,RK_Riekerpolder,2.63,71.0,40.0,0.32530120481927716,Low
312,RK_Buurt 2,3.34,54.0,56.0,0.3242971887550201,Low
313,RK_Park de Meer,3.04,56.0,44.0,0.3082329317269076,Low
314,RK_Tuindorp Amstelstation,2.88,63.0,44.0,0.3082329317269076,Low
315,RK_Spaarndammerbuurt Zuidoost,2.59,65.0,30.0,0.30722891566265065,Low
316,RK_Werengouw Midden,3.13,57.0,50.0,0.3032128514056224,Low
317,RK_Aalsmeerwegbuurt West,2.46,70.0,33.0,0.3002008032128515,Low
318,RK_Don Bosco,2.38,71.0,32.0,0.2991967871485943,Low
319,RK_Coenhaven/Mercuriushaven,2.63,43.0,17.0,0.2981927710843374,Low
320,RK_Kop Zuidas,2.33,74.0,35.0,0.2961847389558232,Low
321,RK_Westhaven Noord,2.54,60.0,23.0,0.29518072289156627,Low
322,RK_Zeeburgereiland Zuidoost,2.21,68.0,25.0,0.2921686746987952,Low
323,RK_IJsbaanpad e0o0,2.92,55.0,38.0,0.28915662650602414,Low
324,RK_De Kleine Wereld,3.25,52.0,52.0,0.285140562248996,Low
325,RK_Bijlmermuseum Noord,3.42,45.0,53.0,0.2841365461847388,Low
326,RK_Park Haagseweg,2.63,67.0,36.0,0.2801204819277108,Low
327,RK_Bedrijvengebied Zeeburgerkade,2.63,44.0,19.0,0.2680722891566265,Low
328,RK_Middenmeer Noord,2.54,68.0,35.0,0.25602409638554224,Low
329,RK_Diepenbrockbuurt,2.54,63.0,27.0,0.2550200803212851,Low
330,RK_Johan Jongkindbuurt,2.59,67.0,36.0,0.24799196787148592,Low
331,RK_Den Texbuurt,2.75,61.0,37.0,0.24598393574297184,Low
332,RK_Buurt 5 Noord,3.13,55.0,54.0,0.23594377510040154,Low
333,RK_Rode Kruisbuurt,2.79,64.0,47.0,0.2299196787148594,Low
334,RK_Architectenbuurt,2.63,56.0,26.0,0.22690763052208834,Low
335,RK_Mercatorpark,3.17,55.0,59.0,0.22590361445783136,Low
336,RK_G-buurt Noord,3.04,54.0,48.0,0.22389558232931717,Low
337,RK_Twiske Oost,2.79,60.0,40.0,0.22389558232931717,Low
338,RK_Dichtersbuurt,2.75,64.0,44.0,0.21285140562249005,Low
339,RK_Osdorp Midden Zuid,3.29,47.0,57.0,0.2118473895582328,Low
340,RK_Bedrijventerrein Landlust,2.38,66.0,29.0,0.2078313253012048,Low
341,RK_Bertelmanpleinbuurt,2.63,64.0,36.0,0.20080321285140557,Low
342,RK_Wittenburg,2.88,49.0,37.0,0.19477911646586343,Low
343,RK_Kazernebuurt,2.79,58.0,40.0,0.18975903614457823,Low
344,RK_Markengouw Midden,2.96,57.0,51.0,0.18172690763052213,Low
345,RK_Reigersbos Zuid,3.08,52.0,54.0,0.16465863453815266,Low
346,RK_Zuid II,2.84,54.0,41.0,0.15662650602409633,Low
347,RK_Nieuw Sloten Noordwest,2.79,61.0,47.0,0.15461847389558225,Low
