name,stadsdeel,type,wijk,address,latitude,longitude,active,website_url,photo_url,description,note,seating,toilets,free_water,food_to_buy,own_food_ok,airco,supervisor,accessible,games,pets_ok,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,heat_mon,heat_tue,heat_wed,heat_thu,heat_fri,heat_sat,heat_sun
AH Osdorpplein XL,Nieuw-West,supermarket,Osdorp,"Osdorpplein, Amsterdam",52.35925,4.803017,yes,https://www.ah.nl/winkel/1027,data/photos/ah-osdorpplein.webp,Meerdere tafels met zitplekken.,Bekijk de actuele openingstijden op de website.,yes,yes,yes,yes,no,yes,yes,yes,yes,no,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,10:00-20:00,,,,,,,
Stadsboerderij Osdorp,Nieuw-West,urban_farm,Osdorp,"Osdorperhout 66, Amsterdam",52.35917,4.791256,yes,https://stadsboerderijosdorp.nl/,data/photos/stadsboerderij-osdorp.webp,"Koele binnen- en buitenplekken. Goedkope drankjes (koffie, thee, limonade).",Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,yes,yes,no,yes,yes,yes,no,,,,,,,,,,,,,,
Kerk de Opgang,Nieuw-West,church,Osdorp,"Osdorp-Sloten, Amsterdam",52.35814,4.797851,yes,https://www.protestantsamsterdam.nl/kerk/osdorp-sloten/,data/photos/kerk-de-opgang.jpg,Soms buurtlunch (tegen betaling). Huisdieren toegestaan.,Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,,
OBA Slotermeer,Nieuw-West,library,Slotermeer,"Plein '40-'45 117, Amsterdam",52.37936,4.820191,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,data/photos/oba-slotermeer.webp,Geen sterk ruikend of geluidmakend eten toegestaan. Hulphonden toegestaan. Activiteiten beschikbaar.,Aangepaste zomeropeningstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,yes,yes,yes,yes,no,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,12:00-17:00,,,,,,,
OBA Postjesweg,Nieuw-West,library,Overtoomse Veld,"Postjesweg 1, Amsterdam",52.36448,4.834966,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,data/photos/oba-postjesweg.webp,Geen sterk ruikend of geluidmakend eten toegestaan. Hulphonden toegestaan. OBA Caf̩ aanwezig. Activiteiten beschikbaar.,Aangepaste zomeropeningstijden. Bekijk actuele tijden op de website.,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,12:00-17:00,,,,,,,
OBA Geuzenveld,Nieuw-West,library,Geuzenveld,"Notweg 135, Amsterdam",52.37814,4.802531,yes,https://oba.nl/nl/over-oba/aangepaste-openingstijden-2026,data/photos/oba-geuzenveld.webp,"Geen sterk ruikend of geluidmakend eten toegestaan. Hulphonden toegestaan. Drankautomaat (koffie, thee, chocolademelk). Activiteiten beschikbaar.",Aangepaste zomeropeningstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,yes,yes,yes,yes,no,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-17:00,12:00-17:00,,,,,,,
Kerk de Ark,Nieuw-West,church,Slotervaart,"Slotervaart, Amsterdam",52.35473,4.825241,yes,https://regenbooggemeente.nl/,data/photos/kerk-de-ark.jpg,Soms buurtlunch (tegen betaling). Hulphonden toegestaan.,Tijdens warme periodes vaak ruimere openingstijden. Bekijk actuele tijden op de website.,yes,yes,yes,no,yes,no,yes,yes,yes,no,,,,,,,,,,,,,,
Meervaart Theater,Nieuw-West,theater,Osdorp,,52.36270156,4.807059576,yes,,data/photos/meervart.jpg,,,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,09:00-16:30,,,,,,,,,
Amstelring De Bogt,West,community_center,Spaarndammerbuurt,"Polanenstraat 6, 1013 VW Amsterdam",52.39160602,4.879565658,yes,https://www.amstelring.nl/wonen/locaties/de-bogt,data/photos/amstelring-de-bogt.webp,,,yes,,yes,no,yes,no,yes,yes,yes,no,,,,,,,,,,,,,,
Kerk De Nieuwe Stad,Zuid-Oost,church,,"Luthuliplein 11, 1103 TR Amsterdam",52.31936169,4.968809815,yes,https://kerkcentrumdenieuwestad.org/,data/photos/kerk_de_nieuwe_stad.webp,,,yes,yes,yes,no,yes,yes,yes,,yes,yes,09:00-21:00,07:00-21:30,07:00-21:30,07:00-21:30,07:00-21:30,09:30-16:00,9:00-17:00,,,,,,,
Albert Heijn Bijlmerplein,Zuid-Oost,supermarket,,"Bijlmerplein 526, 1102 DP Amsterdam",52.31575156,4.955051573,yes,https://www.ah.nl/winkel/1502,data/photos/ah_bijlmerplein.webp,,,yes,yes,yes,yes,yes,,yes,,,no,09:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,09:00-22:00,,,,,,,
Willem de Zwijgerkerk,Zuid,church,,"Olympiaweg 14, 1076 XP Amsterdam",52.34963799,4.863165134,yes,http://www.willemdezwijgerkerk.nl/,data/photos/willem_de_zwijgerkerk.jpg,,,,,,,,,,,,,09:00-24:00,09:00-24:00,09:00-24:00,09:00-24:00,09:00-24:00,09:00-24:00,13:00-24:00,,,,,,,
